매출_일련번호,매출년월,시간대_G2,매출금액,연령대_10세,성별,추정라이프스테이지,추정직업군,추정연소득구간,페르소나_1인가구_등급,페르소나_1인가구_스코어,페르소나_액티브시니어_등급,페르소나_액티브시니어_스코어,페르소나_반려동물보유_등급,페르소나_반려동물보유_스코어,페르소나_온라인쇼핑_등급,페르소나_온라인쇼핑_스코어,페르소나_건강관심_등급,페르소나_건강관심_스코어,페르소나_자녀교육관심_등급,페르소나_자녀교육관심_스코어,페르소나_문화활동관심_등급,페르소나_문화활동관심_스코어,페르소나_프리미엄소비_등급,페르소나_프리미엄소비_스코어,페르소나_가격민감_등급,페르소나_가격민감_스코어,페르소나_얼리어답터_등급,페르소나_얼리어답터_스코어,페르소나_아웃도어활동관심_등급,페르소나_아웃도어활동관심_스코어,페르소나_국내여행관심_등급,페르소나_국내여행관심_스코어,페르소나_해외여행관심_등급,페르소나_해외여행관심_스코어,페르소나_배달식선호_등급,페르소나_배달식선호_스코어,페르소나_간편식선호_등급,페르소나_간편식선호_스코어,페르소나_밀키트선호_등급,페르소나_밀키트선호_스코어,개인신용판매_이용금액_등급,주점업종_이용금액_등급,주류판매점업종_이용금액_등급,제과아이스크림업종_이용금액_등급,커피음료업종_이용금액_등급,한식업종_이용금액_등급,일식업종_이용금액_등급,중식업종_이용금액_등급,양식업종_이용금액_등급,부페업종_이용금액_등급,패스트푸드업종_이용금액_등급,간이음식점업종_이용금액_등급,할인점업종_이용금액_등급,마트업종_이용금액_등급,백화점업종_이용금액_등급,편의점업종_이용금액_등급,배달앱업종_이용금액_등급,현금서비스사용여부,가맹점_소재_광역시도,가맹점_소재_시군구,가맹점_소재_행정동,가맹점_지역_상권유형_(추정),매출발생요일,매출발생일_휴일여부,점포번호,포스번호,매출번호,구매수량,제품코드,제품코드명,제품금액,제품수량,제품대분류코드,제품대분류코드명,제품중분류코드,제품중분류코드명,제품소분류코드,제품소분류코드명
519,202011,06-12,15180,40대,F,학생,서비스직,8000+,5,0.1456,4,0.0269,3,0.5505,4,0.2654,2,0.2301,4,0.3886,1,0.0889,5,0.7073,5,0.3745,2,0.1816,2,0.9648,5,0.7934,4,0.435,5,0.2069,5,0.9809,5,0.0172,2,2,4,3,4,2,1,2,4,5,3,2,3,4,1,5,1,N,광주,시군구4,행정동5,상권유형B,Thursday,N,155,18,130260,6,P66681,음료,5277,3,200,생활,210,주택,111,콜라
520,202101,06-12,99671,30대,F,학생,사무직,2000-4000,5,0.5702,2,0.5534,3,0.1057,3,0.7251,5,0.5697,4,0.2041,3,0.6194,1,0.9957,5,0.8264,4,0.2227,3,0.685,2,0.4637,3,0.5975,1,0.7888,5,0.4483,5,0.6399,4,1,5,4,5,3,5,5,5,3,5,3,3,1,3,2,3,Y,대전,시군구2,행정동5,상권유형A,Thursday,N,242,97,132739,3,P28193,음료,48905,2,300,서비스,120,스낵,121,과자
521,202010,18-24,44818,40대,M,학생,사무직,4000-6000,2,0.4437,1,0.9867,5,0.6175,3,0.1699,4,0.4048,4,0.8911,4,0.3142,2,0.181,4,0.463,3,0.858,3,0.9284,1,0.0266,2,0.5959,2,0.9296,1,0.7334,4,0.8138,1,3,5,5,1,3,3,4,2,3,1,2,1,5,5,3,1,N,충남,시군구1,행정동1,상권유형B,Tuesday,Y,273,28,137782,6,P26459,음료,36147,3,300,서비스,210,주택,122,초콜릿
522,202007,12-18,5373,20대,F,학생,무직,8000+,3,0.2496,5,0.9798,2,0.3657,5,0.2848,1,0.055,3,0.4432,3,0.3014,2,0.7396,5,0.4993,4,0.4645,4,0.1618,3,0.0607,4,0.5553,4,0.4765,4,0.7294,4,0.5004,4,1,1,3,2,2,4,3,1,5,1,5,4,2,3,4,3,N,울산,시군구4,행정동4,상권유형C,Saturday,N,144,3,192957,9,P24686,음료,16023,3,100,식음료,110,음료,211,의류
523,202008,00-06,21786,10대,F,학생,생산직,6000-8000,5,0.4294,3,0.3373,4,0.9676,3,0.3118,5,0.8609,4,0.6077,2,0.1934,2,0.948,3,0.6216,4,0.6611,4,0.4603,3,0.9195,1,0.2262,3,0.792,4,0.7725,4,0.0235,2,1,2,4,5,2,2,4,5,5,5,1,2,4,3,1,1,N,전남,시군구2,행정동1,상권유형A,Saturday,N,383,68,199215,9,P39533,간식,24274,3,100,식음료,110,음료,211,의류
524,202103,00-06,40725,20대,F,자영업,서비스직,8000+,3,0.6735,1,0.4827,5,0.4154,1,0.9964,4,0.0157,3,0.1125,3,0.8011,5,0.6446,4,0.4342,4,0.5149,3,0.2042,2,0.9567,5,0.5192,5,0.3194,1,0.7894,2,0.1448,3,4,1,3,4,2,1,4,2,4,5,5,4,5,5,2,1,N,강원,시군구2,행정동1,상권유형B,Wednesday,N,126,19,130537,7,P33035,도시락,26103,2,300,서비스,120,스낵,112,사이다
525,202009,12-18,7170,30대,F,취업준비,생산직,4000-6000,3,0.2817,4,0.1005,4,0.1362,4,0.2146,2,0.8985,4,0.108,5,0.9643,2,0.9631,1,0.8671,4,0.8341,5,0.4788,3,0.6411,3,0.9798,2,0.7032,5,0.0391,5,0.2112,2,2,2,4,1,3,3,2,4,3,3,2,1,4,1,1,4,N,전북,시군구2,행정동5,상권유형C,Monday,N,81,51,164703,6,P73391,간식,36853,2,200,생활,120,스낵,112,사이다
526,202009,00-06,33069,30대,M,학생,사무직,2000-4000,5,0.9152,1,0.5222,2,0.834,4,0.1292,2,0.7919,3,0.0674,2,0.6278,3,0.9944,2,0.4033,4,0.5085,3,0.7912,1,0.1849,5,0.4446,4,0.5572,2,0.2733,3,0.6278,4,5,3,5,2,3,2,4,2,2,2,3,1,1,2,3,1,N,충북,시군구2,행정동5,상권유형B,Saturday,N,363,67,123422,5,P92640,스낵,18849,3,300,서비스,120,스낵,122,초콜릿
527,202105,06-12,47371,50대,F,학생,서비스직,4000-6000,5,0.3063,3,0.5997,4,0.8209,2,0.9257,5,0.0758,2,0.3673,3,0.9454,3,0.8016,3,0.9426,3,0.0933,1,0.8449,2,0.3681,1,0.8745,3,0.8432,2,0.2297,5,0.4861,1,3,1,5,2,3,1,4,5,1,1,2,1,2,5,4,2,N,경북,시군구1,행정동1,상권유형A,Saturday,N,440,57,145971,3,P51349,간식,13626,1,100,식음료,120,스낵,122,초콜릿
528,202007,00-06,94915,30대,M,직장인,서비스직,8000+,3,0.1982,4,0.2511,2,0.6949,5,0.1619,5,0.7236,2,0.4729,2,0.8839,2,0.9993,1,0.8769,3,0.198,5,0.0042,1,0.3055,3,0.3814,3,0.7759,2,0.6986,2,0.1022,5,4,1,2,1,2,4,4,1,1,4,4,3,3,1,1,4,Y,대구,시군구1,행정동5,상권유형C,Saturday,N,122,76,172082,1,P84106,음료,7049,2,200,생활,110,음료,112,사이다
529,202104,00-06,9551,30대,M,은퇴,자영업자,8000+,1,0.9546,4,0.6121,3,0.7488,2,0.8793,1,0.7709,2,0.2446,2,0.2179,3,0.6258,4,0.4211,2,0.0133,4,0.3895,5,0.7852,3,0.623,3,0.2841,3,0.6833,2,0.5017,3,5,4,5,3,4,5,1,1,5,3,4,1,5,2,1,3,N,제주,시군구5,행정동5,상권유형A,Monday,N,259,2,150337,5,P55804,생필품,22257,4,100,식음료,210,주택,112,사이다
530,202105,18-24,58109,40대,M,취업준비,사무직,6000-8000,3,0.8106,3,0.8997,4,0.2647,1,0.6505,4,0.6023,4,0.3497,4,0.1535,1,0.4971,5,0.3658,3,0.8315,3,0.9941,3,0.5371,2,0.4818,5,0.1495,4,0.297,4,0.8695,2,3,4,3,4,3,5,1,2,1,5,1,2,4,2,3,3,N,전남,시군구1,행정동3,상권유형A,Saturday,N,465,27,192199,7,P97498,음료,24324,3,100,식음료,110,음료,111,콜라
531,202101,00-06,91660,10대,F,학생,생산직,6000-8000,4,0.3431,2,0.001,2,0.6421,1,0.5769,1,0.5777,5,0.0063,2,0.2116,3,0.9176,1,0.6766,4,0.6633,2,0.5893,3,0.7797,3,0.6886,4,0.8077,5,0.7935,3,0.4391,5,2,2,3,2,2,2,1,3,3,2,2,3,4,5,2,3,Y,인천,시군구3,행정동1,상권유형B,Wednesday,Y,185,41,150998,8,P44797,간식,31381,4,200,생활,220,의류,122,초콜릿
532,202007,00-06,80812,30대,F,취업준비,자영업자,4000-6000,2,0.8414,5,0.2289,1,0.038,4,0.7513,2,0.0497,1,0.3511,4,0.0962,1,0.831,5,0.7553,4,0.7592,5,0.2962,3,0.3605,4,0.8974,2,0.0328,2,0.3116,3,0.1498,1,4,4,1,2,4,4,2,4,3,4,4,4,5,1,1,4,N,서울,시군구3,행정동4,상권유형B,Tuesday,N,202,73,176814,9,P76988,간식,41766,2,200,생활,220,의류,111,콜라
533,202007,18-24,92569,30대,F,직장인,무직,2000-4000,3,0.5188,1,0.2099,5,0.1969,2,0.726,3,0.0595,1,0.1192,1,0.5829,3,0.1101,1,0.1859,4,0.715,3,0.389,5,0.8695,5,0.4409,3,0.679,5,0.3429,2,0.578,3,5,3,3,3,5,3,1,3,3,5,3,4,1,2,4,4,Y,서울,시군구4,행정동3,상권유형B,Thursday,N,349,54,146187,2,P85986,음료,11009,3,100,식음료,110,음료,121,과자
534,202009,00-06,17863,30대,M,학생,전문의,4000-6000,4,0.3468,1,0.1239,4,0.9323,3,0.1105,2,0.7273,3,0.1284,4,0.2827,2,0.3027,1,0.241,2,0.8245,2,0.3226,4,0.4292,5,0.7574,3,0.4759,5,0.3989,2,0.9294,1,2,3,2,5,2,3,3,2,1,1,3,3,1,3,4,1,N,전북,시군구2,행정동2,상권유형C,Saturday,N,317,76,174012,9,P92298,음료,11535,3,200,생활,110,음료,112,사이다
535,202012,18-24,80332,20대,M,은퇴,서비스직,4000-6000,1,0.8396,1,0.1661,1,0.7392,4,0.9995,3,0.1056,4,0.0045,1,0.9129,2,0.2606,4,0.1463,4,0.987,4,0.4476,4,0.4174,2,0.8825,4,0.0753,1,0.7446,4,0.1159,5,5,1,1,4,3,4,5,1,3,4,2,1,3,1,3,5,N,울산,시군구5,행정동5,상권유형B,Saturday,N,64,74,182292,3,P45640,간식,14732,1,200,생활,110,음료,121,과자
536,202007,00-06,97884,50대,F,자영업,생산직,8000+,3,0.7522,5,0.6259,2,0.2307,5,0.9419,3,0.2418,1,0.6964,2,0.6134,1,0.8553,4,0.7607,3,0.6535,2,0.4445,2,0.4891,5,0.7895,3,0.6886,2,0.0118,1,0.1564,1,5,4,5,5,5,2,1,5,2,4,4,5,3,1,2,5,N,대구,시군구4,행정동4,상권유형B,Tuesday,N,22,80,197302,7,P41981,음료,8599,1,100,식음료,110,음료,211,의류
537,202011,00-06,33277,60대,M,취업준비,서비스직,4000-6000,4,0.2979,3,0.1027,2,0.1114,3,0.8966,3,0.4988,2,0.9313,5,0.3596,5,0.2332,5,0.7144,2,0.2523,3,0.5069,2,0.5918,3,0.0246,3,0.4829,1,0.9065,1,0.5668,2,1,4,1,3,2,2,2,3,2,3,5,4,2,2,1,3,N,대전,시군구3,행정동2,상권유형C,Sunday,N,182,61,133784,7,P11283,간식,7509,2,300,서비스,210,주택,211,의류
538,202007,00-06,50365,10대,F,은퇴,전문의,6000-8000,2,0.6067,1,0.7385,5,0.9489,5,0.6223,5,0.1642,1,0.6215,2,0.9846,1,0.304,3,0.1891,1,0.1014,4,0.4645,5,0.8941,3,0.0002,3,0.8601,5,0.6921,5,0.34,4,5,1,4,1,2,3,1,5,5,2,1,5,4,1,2,2,N,경기,시군구5,행정동3,상권유형B,Saturday,N,225,75,155744,6,P65789,간식,40078,3,100,식음료,110,음료,211,의류
539,202012,12-18,53553,40대,F,취업준비,서비스직,0-2000,3,0.3694,1,0.887,5,0.1122,2,0.5228,1,0.7898,1,0.0962,4,0.9532,1,0.5188,3,0.5369,2,0.5897,2,0.5161,5,0.4578,1,0.883,2,0.2086,3,0.5866,5,0.8956,5,1,1,4,1,2,4,1,2,3,1,4,5,1,5,3,4,Y,서울,시군구2,행정동2,상권유형B,Sunday,Y,306,68,170877,4,P60295,간식,35733,3,200,생활,110,음료,122,초콜릿
540,202006,12-18,49873,50대,F,학생,전문의,6000-8000,4,0.0011,1,0.9266,4,0.2571,5,0.5363,4,0.8074,1,0.9896,2,0.7786,1,0.0761,1,0.7642,4,0.7708,1,0.028,2,0.9301,4,0.7293,3,0.0023,2,0.2373,1,0.7128,3,5,2,4,1,3,3,1,2,3,1,5,4,1,3,5,4,N,강원,시군구3,행정동3,상권유형B,Sunday,Y,200,4,188761,2,P45234,생필품,41569,4,300,서비스,210,주택,121,과자
541,202102,06-12,29688,30대,M,은퇴,전문의,4000-6000,1,0.9618,5,0.6602,3,0.1826,2,0.0149,2,0.8421,4,0.9756,5,0.7917,5,0.9612,4,0.947,2,0.5616,2,0.0544,2,0.3937,5,0.9581,5,0.1305,5,0.7855,1,0.1471,2,5,1,5,3,3,2,4,2,1,2,2,5,5,1,1,5,N,서울,시군구3,행정동2,상권유형B,Thursday,Y,66,28,110134,5,P29535,도시락,29323,1,100,식음료,310,헬스,211,의류
542,202006,00-06,97117,50대,M,은퇴,무직,8000+,4,0.5496,3,0.1974,1,0.0075,1,0.4995,1,0.0496,5,0.4682,5,0.9773,2,0.4911,5,0.1785,1,0.3036,1,0.3711,2,0.3246,2,0.2925,5,0.2696,4,0.8728,2,0.8707,2,5,5,1,2,4,1,5,3,5,3,3,3,1,4,5,3,N,충남,시군구1,행정동4,상권유형A,Monday,N,377,89,103709,1,P87837,도시락,40937,3,100,식음료,210,주택,121,과자
543,202008,00-06,95693,40대,M,취업준비,생산직,4000-6000,2,0.5984,1,0.0853,2,0.3141,4,0.6238,3,0.4279,3,0.1079,5,0.6005,3,0.1904,3,0.3043,2,0.7197,2,0.8849,4,0.295,5,0.788,1,0.6522,5,0.5015,3,0.6423,5,2,5,1,2,2,3,4,1,3,3,3,3,3,4,3,3,N,서울,시군구1,행정동3,상권유형B,Monday,N,216,10,108432,6,P99925,생필품,22511,4,100,식음료,120,스낵,112,사이다
544,202008,12-18,38692,60대,F,직장인,무직,4000-6000,2,0.5999,2,0.232,1,0.9742,4,0.6587,2,0.8469,1,0.7207,2,0.88,4,0.2708,5,0.3483,5,0.448,1,0.7908,5,0.0212,1,0.8015,2,0.3626,5,0.2925,1,0.4936,5,5,1,5,5,3,1,4,1,4,5,4,3,5,4,3,3,N,전남,시군구5,행정동1,상권유형A,Friday,N,28,56,113215,3,P99726,생필품,44097,1,200,생활,310,헬스,211,의류
545,202103,00-06,80723,70대,M,학생,생산직,0-2000,4,0.5506,4,0.962,4,0.3419,5,0.3321,1,0.3632,5,0.9615,2,0.0648,1,0.7981,2,0.625,1,0.2866,3,0.1102,5,0.8491,5,0.8573,4,0.1182,5,0.3806,5,0.2565,1,3,2,1,1,1,3,1,4,3,4,4,3,4,3,2,2,N,광주,시군구1,행정동1,상권유형A,Monday,Y,298,76,127517,2,P50561,도시락,28583,4,100,식음료,310,헬스,211,의류
546,202006,12-18,40354,10대,F,자영업,자영업자,8000+,1,0.29,3,0.9623,1,0.5043,5,0.4713,3,0.6958,2,0.7787,4,0.5541,1,0.634,5,0.1364,1,0.8411,3,0.4948,5,0.0792,2,0.692,1,0.9816,2,0.4163,3,0.6497,5,1,2,2,1,5,4,5,4,2,5,5,3,3,1,5,4,N,강원,시군구1,행정동1,상권유형C,Friday,Y,201,43,127149,6,P77096,도시락,2160,4,100,식음료,310,헬스,121,과자
547,202011,12-18,79686,30대,M,자영업,전문의,6000-8000,1,0.9716,5,0.3819,4,0.7459,1,0.6363,5,0.5892,1,0.6242,5,0.5025,1,0.4646,3,0.1934,3,0.5765,2,0.6046,2,0.3343,3,0.1383,4,0.1082,2,0.3059,3,0.8985,5,5,5,4,2,2,3,3,3,2,4,3,2,2,4,1,4,N,울산,시군구1,행정동1,상권유형C,Monday,N,268,18,110304,3,P84694,간식,8904,1,200,생활,120,스낵,211,의류
548,202101,18-24,58890,30대,M,자영업,자영업자,8000+,3,0.6217,1,0.3258,5,0.5511,4,0.4283,3,0.3472,1,0.6108,3,0.0377,4,0.3316,1,0.7804,2,0.2834,4,0.4812,2,0.2505,1,0.6809,3,0.3551,1,0.7122,1,0.0385,3,5,4,3,4,2,3,5,3,1,3,5,4,1,5,2,1,N,경남,시군구3,행정동1,상권유형A,Saturday,N,429,3,194612,9,P80337,도시락,26065,1,100,식음료,110,음료,121,과자
549,202012,06-12,47546,20대,M,직장인,생산직,0-2000,5,0.6709,1,0.51,2,0.7436,4,0.9621,4,0.2764,2,0.9779,4,0.087,5,0.9007,2,0.5421,5,0.3286,1,0.6976,5,0.7444,5,0.6045,1,0.8766,2,0.3422,2,0.3752,2,2,5,2,5,1,2,2,3,5,5,3,2,1,2,2,1,N,전남,시군구2,행정동4,상권유형B,Tuesday,N,96,66,181118,1,P41944,도시락,40737,1,200,생활,310,헬스,121,과자
550,202102,00-06,13677,30대,F,자영업,자영업자,2000-4000,1,0.4548,1,0.2917,4,0.6616,4,0.7054,1,0.6527,4,0.0731,5,0.0218,4,0.7726,3,0.1604,2,0.5717,1,0.9973,2,0.9326,3,0.3337,3,0.6526,3,0.8212,4,0.9357,3,2,2,2,2,2,2,4,3,3,4,2,5,3,1,3,1,N,제주,시군구2,행정동3,상권유형C,Monday,Y,334,59,119692,8,P89284,생필품,7777,1,300,서비스,310,헬스,121,과자
551,202103,06-12,65804,70대,F,직장인,생산직,8000+,4,0.2879,2,0.9797,5,0.6086,1,0.0013,1,0.1336,2,0.1496,4,0.294,5,0.7181,1,0.3884,3,0.4229,3,0.0965,2,0.8167,5,0.2086,3,0.3198,3,0.4637,4,0.3829,4,3,1,5,2,5,5,3,2,2,5,4,4,3,2,3,2,N,전북,시군구5,행정동1,상권유형B,Wednesday,N,60,69,139734,7,P69196,간식,37895,2,300,서비스,210,주택,121,과자
552,202010,18-24,32787,10대,M,은퇴,생산직,0-2000,1,0.0643,4,0.2212,3,0.6496,1,0.0233,2,0.8601,3,0.8308,2,0.0535,5,0.446,5,0.1345,2,0.1605,1,0.5155,5,0.32,2,0.8851,4,0.9703,4,0.629,2,0.0359,2,2,3,3,3,3,5,3,4,4,2,3,5,2,4,5,1,N,제주,시군구5,행정동3,상권유형A,Sunday,N,388,17,138308,3,P18579,도시락,44515,2,200,생활,220,의류,211,의류
553,202103,12-18,22469,30대,F,학생,생산직,4000-6000,3,0.3502,4,0.3691,3,0.7992,4,0.6903,4,0.5764,2,0.1451,2,0.4232,2,0.9812,2,0.3627,2,0.6105,5,0.5124,3,0.4558,1,0.1419,5,0.5011,4,0.948,3,0.1014,2,4,5,5,5,4,1,1,1,1,4,4,4,2,4,1,3,N,인천,시군구5,행정동2,상권유형B,Thursday,N,183,47,184715,6,P24662,스낵,9509,2,100,식음료,310,헬스,211,의류
554,202009,12-18,20127,50대,F,직장인,자영업자,4000-6000,3,0.1761,2,0.4294,2,0.7102,5,0.4126,5,0.1115,5,0.3833,3,0.8127,1,0.7101,4,0.4002,2,0.6891,2,0.5624,1,0.247,4,0.4222,5,0.0081,5,0.4461,1,0.6908,3,2,5,3,1,3,2,3,4,3,2,4,3,1,5,3,5,N,대전,시군구2,행정동3,상권유형C,Sunday,N,381,55,103552,4,P53361,간식,27930,4,100,식음료,110,음료,122,초콜릿
555,202105,06-12,98205,30대,F,직장인,전문의,8000+,3,0.6621,4,0.1251,3,0.7918,1,0.8395,1,0.7035,4,0.2815,3,0.6138,1,0.4236,5,0.1121,2,0.0001,3,0.167,5,0.924,1,0.6228,3,0.0062,3,0.1703,3,0.7001,1,2,3,4,5,2,2,1,4,3,2,1,2,1,3,3,4,N,전남,시군구1,행정동3,상권유형A,Tuesday,N,21,83,185722,3,P94683,음료,44342,2,300,서비스,210,주택,121,과자
556,202012,00-06,11225,30대,F,직장인,사무직,8000+,1,0.879,4,0.3828,5,0.1456,1,0.173,3,0.4311,4,0.2434,5,0.6738,4,0.9606,3,0.0598,4,0.5369,2,0.6384,2,0.1187,4,0.9718,4,0.941,2,0.5499,2,0.115,3,2,2,2,5,4,4,4,3,5,4,3,4,2,5,2,5,N,서울,시군구5,행정동3,상권유형C,Friday,Y,331,19,107818,3,P75924,간식,15780,1,100,식음료,310,헬스,111,콜라
557,202102,18-24,80054,70대,M,학생,자영업자,8000+,4,0.3028,1,0.8567,4,0.6777,3,0.0138,2,0.2041,3,0.0257,2,0.0315,4,0.8957,4,0.8816,4,0.5772,3,0.0443,2,0.952,1,0.671,4,0.2812,3,0.4967,5,0.2192,1,4,1,1,2,2,1,4,2,4,3,1,3,5,2,1,1,N,대구,시군구3,행정동2,상권유형C,Tuesday,N,126,69,152626,4,P68110,도시락,20001,3,100,식음료,220,의류,112,사이다
558,202104,18-24,86748,30대,M,취업준비,자영업자,2000-4000,2,0.3329,4,0.1404,2,0.737,2,0.3881,4,0.9611,3,0.5663,1,0.8395,5,0.74,3,0.8876,1,0.3321,1,0.7411,3,0.8137,1,0.3049,5,0.8121,5,0.7826,2,0.5639,1,3,3,3,4,4,4,5,5,4,4,3,2,2,3,5,4,N,전북,시군구5,행정동1,상권유형A,Thursday,Y,196,69,158264,5,P64452,생필품,22755,3,300,서비스,110,음료,111,콜라
559,202103,18-24,4074,20대,F,은퇴,사무직,4000-6000,4,0.6704,3,0.584,3,0.3,5,0.7361,2,0.7196,5,0.4012,2,0.1462,3,0.767,4,0.0026,3,0.3387,5,0.6632,2,0.7116,4,0.0607,4,0.0436,5,0.8602,3,0.6865,2,1,3,4,4,5,1,3,5,2,4,4,1,1,4,2,4,N,울산,시군구1,행정동4,상권유형C,Wednesday,N,117,59,120995,6,P92796,도시락,23450,2,200,생활,110,음료,111,콜라
560,202104,18-24,59343,20대,M,학생,무직,6000-8000,4,0.1493,1,0.4066,4,0.8746,5,0.9717,3,0.593,4,0.5516,3,0.3027,5,0.4236,1,0.6412,2,0.3177,1,0.3304,5,0.774,4,0.3177,2,0.1469,5,0.7126,4,0.1568,4,3,1,3,1,1,5,5,5,3,4,4,1,3,2,1,3,Y,광주,시군구5,행정동4,상권유형B,Friday,N,200,9,109773,8,P58628,스낵,16949,3,100,식음료,120,스낵,122,초콜릿
561,202012,06-12,58163,60대,M,자영업,전문의,8000+,3,0.9294,2,0.1705,1,0.3047,3,0.8837,5,0.8489,5,0.3045,2,0.5168,5,0.5074,2,0.0937,5,0.4453,2,0.989,4,0.3393,1,0.2928,2,0.8568,3,0.9715,1,0.4564,5,4,5,5,3,1,1,5,1,5,1,1,2,1,2,3,4,Y,광주,시군구2,행정동5,상권유형A,Friday,N,395,12,142845,6,P46633,음료,26797,1,300,서비스,210,주택,112,사이다
562,202006,06-12,36508,30대,M,자영업,사무직,0-2000,2,0.3638,4,0.0123,4,0.2438,5,0.4841,3,0.5439,1,0.9415,2,0.93,5,0.1915,4,0.8101,1,0.8119,5,0.8288,3,0.2959,1,0.8191,2,0.9941,4,0.2692,2,0.562,3,1,4,4,2,4,5,3,4,1,1,5,4,3,5,1,1,N,전남,시군구4,행정동4,상권유형C,Monday,N,26,60,189920,8,P44723,음료,13869,4,300,서비스,110,음료,111,콜라
563,202011,00-06,67004,30대,F,직장인,생산직,8000+,4,0.1012,4,0.2733,2,0.8671,2,0.8128,4,0.4415,5,0.5913,2,0.9981,5,0.5954,1,0.8796,3,0.469,3,0.5395,2,0.3814,5,0.3766,1,0.0519,3,0.2392,5,0.0497,4,2,2,3,1,1,5,5,1,4,2,4,5,4,3,4,4,N,경기,시군구1,행정동2,상권유형C,Friday,N,301,62,156520,9,P57062,간식,39748,2,300,서비스,120,스낵,112,사이다
564,202008,18-24,41458,20대,M,학생,무직,2000-4000,5,0.1747,2,0.0618,2,0.247,5,0.0703,4,0.1894,5,0.9612,5,0.7827,1,0.3699,5,0.6166,2,0.9936,4,0.9905,3,0.1816,1,0.0984,2,0.1676,1,0.2913,4,0.2238,2,2,2,3,3,4,4,4,1,2,2,2,5,1,4,4,5,N,서울,시군구4,행정동4,상권유형B,Saturday,Y,98,64,188580,8,P29840,음료,34292,1,300,서비스,210,주택,111,콜라
565,202104,12-18,44529,30대,M,학생,서비스직,0-2000,5,0.9327,4,0.3768,3,0.4155,3,0.5723,3,0.1534,4,0.35,3,0.7293,4,0.3474,4,0.6132,2,0.3762,1,0.8301,2,0.7464,2,0.87,3,0.7229,4,0.6709,2,0.9189,4,5,2,2,4,2,5,2,1,4,5,3,3,5,4,2,2,N,강원,시군구3,행정동5,상권유형C,Wednesday,N,199,77,134952,4,P96296,생필품,8618,2,200,생활,220,의류,111,콜라
566,202008,06-12,43720,60대,F,취업준비,무직,6000-8000,5,0.2471,2,0.8102,3,0.3679,3,0.9243,2,0.432,5,0.0023,4,0.5277,5,0.9482,1,0.3715,5,0.6993,2,0.138,5,0.475,5,0.0181,4,0.5295,1,0.2325,3,0.88,4,2,5,5,3,3,3,3,4,3,1,1,5,4,4,1,1,N,전남,시군구5,행정동1,상권유형C,Monday,N,279,40,162221,5,P93015,도시락,42613,1,300,서비스,210,주택,121,과자
567,202008,18-24,80266,30대,M,학생,생산직,6000-8000,2,0.6623,3,0.7197,5,0.8981,1,0.3964,5,0.456,3,0.7813,3,0.6656,2,0.1648,1,0.2495,3,0.549,4,0.5911,4,0.8858,3,0.003,2,0.406,4,0.0884,5,0.3225,2,5,4,1,1,4,4,1,4,4,3,2,1,5,5,1,1,N,대구,시군구1,행정동3,상권유형A,Wednesday,Y,49,30,187133,8,P44447,생필품,13618,3,100,식음료,210,주택,122,초콜릿
568,202008,12-18,63681,70대,M,학생,서비스직,0-2000,3,0.1562,1,0.9474,2,0.4552,1,0.9601,2,0.7333,2,0.8274,1,0.1444,5,0.83,1,0.4993,2,0.7623,2,0.5809,1,0.8784,1,0.4748,1,0.1945,5,0.9777,1,0.868,3,4,1,1,5,2,4,2,5,2,4,4,5,4,2,1,2,N,부산,시군구2,행정동4,상권유형A,Wednesday,Y,447,91,139628,6,P76070,도시락,26683,2,100,식음료,220,의류,122,초콜릿
569,202101,18-24,38525,30대,M,학생,생산직,0-2000,2,0.1941,5,0.427,2,0.6943,1,0.2207,5,0.4421,4,0.0587,2,0.2692,2,0.2815,4,0.1337,5,0.8884,3,0.6529,3,0.1559,5,0.0692,1,0.9454,1,0.3146,2,0.6326,4,5,2,4,1,5,1,2,4,5,2,5,5,5,2,3,5,N,충남,시군구4,행정동5,상권유형C,Saturday,N,340,69,198375,2,P79614,스낵,46852,4,200,생활,220,의류,112,사이다
570,202012,18-24,92750,30대,M,학생,전문의,8000+,5,0.8792,5,0.7078,2,0.794,3,0.1056,5,0.5932,4,0.6254,5,0.9846,2,0.0287,3,0.6722,4,0.5117,1,0.9408,4,0.2188,2,0.1771,1,0.1723,4,0.2224,2,0.9816,2,3,4,1,2,5,5,2,3,5,2,3,3,3,5,2,5,N,경남,시군구5,행정동3,상권유형C,Monday,N,306,53,188782,9,P65217,음료,34249,2,200,생활,120,스낵,122,초콜릿
571,202105,00-06,80403,50대,F,은퇴,자영업자,8000+,5,0.148,1,0.6653,5,0.6279,1,0.5248,3,0.8325,1,0.661,3,0.9796,4,0.0405,3,0.4701,1,0.4945,3,0.492,3,0.4106,4,0.9853,3,0.2652,5,0.3587,4,0.9662,4,2,2,3,3,2,4,2,1,4,2,2,1,1,3,4,4,N,부산,시군구5,행정동5,상권유형A,Wednesday,N,465,56,159712,7,P20019,도시락,46921,1,300,서비스,120,스낵,111,콜라
